5632,6029312,15,18720,52461568,75694080,8400
5632,6029312,32841,75515904,131488,52494336,8214
5632,6029312,119537664,8407044,32968,8211,196896
5632,6029312,201,18720,52461568,75694080,8214
5632,6029312,201,306,109182976,26628,18972672
5632,6029312,75628800,51,52461568,26628,65736
5632,6029312,67240224,8407044,52461568,8211,65736
5632,6029312,131364,75515904,52461568,8211,65736
5632,6029312,456,51,109182976,26628,18972672
5632,1067012,119537664,13369344,32968,8211,196896
5632,1067012,201,306,52461568,75694080,4988928
5632,1067012,75628800,51,32968,52494336,4988928
5632,1067012,52690944,80216064,32968,8211,196896
5632,1067012,67240224,13369344,52461568,8211,65736
5632,1067012,456,51,52461568,75694080,4988928
5632,67305728,50364480,153,2086,6561792,9977856
5632,67305728,16810176,40108032,9963520,16422,8217
5632,23,3932160,75515904,32968,54534144,196896
5632,23,119537664,13369344,131488,98376,1075200
5632,23,76677120,18720,32968,52494336,4988928
5632,23,75628800,1067040,32968,52494336,4988928
5632,23,52690944,80216064,131488,98376,1075200
5632,23,52690944,75515904,32968,5775360,196896
5632,23,67240224,13369344,32968,52494336,1075200
5632,23,19169280,18720,109182976,5775360,65736
5632,23,456,1067040,52461568,75694080,4988928
5632,121634816,3932160,8407044,32968,8211,196896
5632,308,75,16875648,9963520,6561792,100810752
5632,67256576,9439236,51,32968,52494336,4988928
5632,67256576,1050660,13369344,52461568,8211,65736
5632,80740352,19660800,33652800,2086,147840,8217
5632,16875584,10223616,106954752,2086,147840,8217
5632,16875584,39,408,9963520,6561792,100810752
5632,16875584,100794624,153,2086,6561792,9977856
5632,16875584,294,153,9963520,6561792,100810752
5632,16875584,77070336,40108032,2086,147840,8217
5632,16875584,67240320,40108032,9963520,16422,8217
5632,464,15,1067040,52461568,75694080,4988928
5632,89,10223616,106954752,131488,16883712,18438
5632,89,10223616,100761600,2086,147840,23076864
5632,89,1837056,98688,109182976,16422,23076864
5632,89,117571584,98688,2086,6561792,9977856
5632,89,100794624,16875648,2086,6561792,9977856
5632,89,19660800,100761600,2086,147840,13639680
5632,89,294,16875648,9963520,6561792,100810752
5632,89,77070336,40108032,131488,16883712,18438
5632,89,67240320,40108032,2086,16883712,9977856
5632,23330816,39,98688,9963520,8280,100810752
5632,23330816,39,408,109182976,1591296,106560
5632,23330816,75,98688,9963520,8244,100810752
5632,23330816,2055,100761600,131488,8280,9977856
5632,23330816,100794624,153,9963520,16422,106560
5632,23330816,294,153,109182976,1591296,106560
5632,23330816,77070336,33652800,2086,147840,8217
5632,23330816,67240320,33652800,9963520,16422,8217
5632,23330816,131520,100761600,9963520,16422,8217
90112,6029312,125829120,2134080,523,3108,131472
90112,6029312,125829120,2134080,131488,2070,1545
90112,6029312,33216,18878976,109182976,1035,2100
90112,266753,18907200,408,9963520,104988672,1062
90112,266753,16810056,106954752,2086,9962496,131472
90112,1051652,786945,306,52461568,4296,79822848
90112,1051652,262659,80216064,32968,131376,52432896
90112,1051652,119537664,13369344,523,131376,37056
90112,1051652,119537664,13369344,131488,4611,32856
90112,1051652,201,306,2884096,50368512,79822848
90112,1051652,201,306,109182976,23101440,791040
90112,1051652,75628800,51,2884096,4296,54558720
90112,1051652,75628800,51,32968,4981248,52432896
90112,1051652,75628800,240,523,2887680,54558720
90112,1051652,75628800,240,52461568,4981248,4107
90112,1051652,52690944,80216064,523,131376,37056
90112,1051652,52690944,80216064,131488,4611,32856
90112,1051652,67240224,13369344,523,32976,52432896
90112,1051652,67240224,13369344,52461568,4296,531
90112,1051652,67240224,62914560,2884096,32976,4107
90112,1051652,67240224,62914560,32968,2887680,531
90112,1051652,456,51,2884096,50368512,79822848
90112,1051652,456,51,109182976,23101440,791040
90112,23,117473280,4680,131488,13633536,2884608
90112,23,480,16814088,2884096,104988672,9440256
90112,23,480,16814088,109182976,2360832,5769216
90112,121634816,10223616,2134080,523,3108,131472
90112,121634816,10223616,2134080,131488,2070,1545
90112,121634816,262665,2134080,2086,9962496,131472
90112,121634816,585,2396160,2086,9962496,131472
90112,121634816,131520,2396160,523,9962496,2100
90112,121634816,131520,2396160,9963520,537,1062
90112,308,1835520,3075,52461568,4296,79822848
90112,308,786945,1051650,52461568,4296,79822848
90112,308,76677120,3075,2884096,4296,54558720
90112,308,76677120,3075,32968,4981248,52432896
90112,308,201,1051650,2884096,50368512,79822848
90112,308,201,1051650,109182976,23101440,791040
90112,263681,1574916,306,52461568,4296,79822848
90112,263681,1050630,80216064,32968,131376,52432896
90112,80740352,262659,527364,32968,131376,52432896
90112,80740352,519,789504,32968,131376,52432896
90112,80740352,52690944,527364,523,131376,37056
